Tweet Text;Tweet Datetime;Tweet Id;Twitter @ Name;Tweet Coordinates;Place Info;Retweets;Favorites;Language;Source;Replied Tweet Id;Replied Tweet User Id Str;Quote Status Bool
ReviewEnergy le da una enorme felicitacin a EnergyNeu quien se destac como una de las 100 mejores startups de C;10/11/2020 03:57;1.32601E+18;review_energy;;;0;0;es;Twitter Web App;;;False
RT CarlosZambrano7 ULTIMAHORAA todos los comunistas que viven y se quejan de EEUU Espaa UE Colombia Chile cambio mi casa y mi sue;10/11/2020 03:57;1.32601E+18;CarlosZambrano7;;;458;0;es;Twitter for Android;;;False
RT GacetaCarabobo DanielRiosVE Juzgado de Colombia orden a la alcaldesa de Bogot Claudia Lpez borrar publicaciones contra los ven;10/11/2020 03:56;1.32601E+18;ismael567;;;3;0;es;Twitter Web App;;;False
RT EnjambreT Para el prximo proyecto de nuestro grupo de teatro necesitamos relatos sobre tropeles as que escrbanos que recuerdos tie;10/11/2020 03:56;1.32601E+18;EnjambreT;;;1;0;es;Twitter Web App;;;False
RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia;10/11/2020 03:56;1.32601E+18;LuzSanchez_18;;;31;0;es;Twitter for Android;;;False
RT ChalecosAmarill En Colombia Bueno ya lo dijo abiertamente el SubPresidente Ivn Duque Matarife;10/11/2020 03:56;1.32601E+18;kaycalf;;;62;0;es;Twitter Web App;;;False
RT ChalecosAmarill En Bolivia ayer para el NARCODICTADOR de Colombia no fue un gran da La misma suerte que tu Mentor el Matarif;10/11/2020 03:55;1.32601E+18;kaycalf;;;155;0;es;Twitter Web App;;;False
RT ecotalvora diplomacia chavista canciller d Maduro introduce a sus empleados a palacio presidencial en LaPaz Bolivia para gritarl;10/11/2020 03:55;1.32601E+18;venenblog;;;12;0;es;TweetDeck;;;False
RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia;10/11/2020 03:54;1.32601E+18;GuerrTr;;;31;0;es;Twitter for Android;;;False
RT GermanvalenCT Es cierto somos una vergenza internacional Pero siendo preciso lo somos por su padre quien vendi el pas al me;10/11/2020 03:54;1.32601E+18;CVCF65;;;43;0;es;Twitter for Android;;;True
RT GermanvalenCT Es cierto somos una vergenza internacional Pero siendo preciso lo somos por su padre quien vendi el pas al me;10/11/2020 03:53;1.32601E+18;Monteca47019091;;;43;0;es;Twitter for Android;;;True
RT elmundodeapolo QUE PASEN UNA BUENA NOCHE AMIGOS PERRUNOS noche dormir sueo tranquilidad descanso pastorale;10/11/2020 03:52;1.32601E+18;PastorAlemanDT;;;1;0;es;Twitter for Android;;;False
latropadelche edhcuba CuervoNica CIPICuba RedComunismo ChilenosConCuba siempreconcuba Montesinos2010;10/11/2020 03:52;1.32601E+18;LunaMayo20;;;0;0;es;Twitter for Android;1.32583E+18;1.28398E+18;False
Medias de diseos y colores para toda la familia en Colombia Bogota Medellin Boyaca;10/11/2020 03:50;1.32601E+18;aiseCP;;;0;0;es;Twitter for Android;;;False
RT ChalecosAmarill En Bolivia ayer para el NARCODICTADOR de Colombia no fue un gran da La misma suerte que tu Mentor el Matarif;10/11/2020 03:50;1.32601E+18;sideralsd;;;155;0;es;Twitter for Android;;;False
RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e;10/11/2020 03:49;1.32601E+18;AbelJuyoo;;;37;0;es;Twitter for Android;;;False
RT VQVFutbol El arquero de Rentistas Yonatan Irrazabal cont en VQV como se enter de la convocatoria de Oscar Tabrez para los par;10/11/2020 03:48;1.32601E+18;chiquibertolini;;;1;0;es;Twitter for iPhone;;;False
RT DanielRiosVE Juzgado de Colombia orden a la alcaldesa de Bogot Claudia Lpez borrar publicaciones contra los venezolanos que fu;10/11/2020 03:48;1.32601E+18;angelicbc;;;32;0;es;Twitter for Android;;;False
RT MoVidaCol En Colombia el MinDefensa CarlosHolmesTru an nos debe explicaciones por el asesinato de 14 personas a manos de agentes de;10/11/2020 03:48;1.32601E+18;FlixSaenz2;;;50;0;es;Twitter for Android;;;False
Los mejores sets para caballeros los tienes en Colombia Cali Medellin Bogota;10/11/2020 03:48;1.32601E+18;aiseCP;;;0;0;es;Twitter for Android;;;False
El arquero de Rentistas Yonatan Irrazabal cont en VQV como se enter de la convocatoria de Oscar Tabrez para;10/11/2020 03:48;1.32601E+18;VQV_Futbol;;;1;1;es;Twitter for Android;;;False
RT PanAmPostes Aunque faltan ocho meses para elegir la nueva directiva del Senado de Colombia la pugna entre los partidos ya comenz;10/11/2020 03:47;1.32601E+18;AlvaroGraj;;;3;0;es;Twitter for Android;;;False
Grupo de WhatsApp pelculas series Divirtete con pelculas anime msica etc Amistad amigos Colombia;10/11/2020 03:47;1.32601E+18;GruposdeWhatsap;;;0;0;es;Twibble.io;;;False
RT YosefUribe Como no admirar al Uribe NorteAmericano realDonaldTrump;10/11/2020 03:46;1.32601E+18;Hilda17073311;;;8;0;es;Twitter for iPhone;;;False
OFICIAL URGENTEQUITAN PENSILVANIA A BIDENPIERDE LOS 20 puntos a travs de YouTube;10/11/2020 03:46;1.32601E+18;vhfiel;;;0;0;es;Twitter Web App;;;False
RT MoVidaCol En Colombia el MinDefensa CarlosHolmesTru an nos debe explicaciones por el asesinato de 14 personas a manos de agentes de;10/11/2020 03:46;1.32601E+18;feldifin;;;50;0;es;Twitter Web App;;;False
Aunque faltan ocho meses para elegir la nueva directiva del Senado de Colombia la pugna entre los partidos ya com;10/11/2020 03:45;1.32601E+18;PanAmPost_es;;;3;6;es;Buffer;;;False
RT biosierra Entre 2011 a 2019 la Deforestacin en Colombia alcanz un total de 1477848 hectreas lo que equivale a 8867 millones;10/11/2020 03:44;1.32601E+18;rabingoreramaya;;;49;0;es;Twitter Web App;;;False
RT cienciainfusa La impresionante belleza de Cao Cristales en Colombia tambin llamado el ro de los siete colores se debe a la vege;10/11/2020 03:44;1.32601E+18;nicoledevonne14;;;67;0;es;Twitter for Android;;;False
Corbatas para todos gustos te mantiene siempre elegante Colombia Cali Medellin;10/11/2020 03:43;1.32601E+18;aiseCP;;;0;0;es;Twitter for Android;;;False
RT mundociclistico VFemenina2020 La VICTORIA de Yeny Lorena Colmenares en la 3a etapa de la Vuelta a Colombia Femenina;10/11/2020 03:43;1.32601E+18;YorleCano;;;2;0;es;Twitter for Android;;;False
Declaracin de renta empezar en febrero Noticias lavibrante AEstahora Leer ms colombia destacada;10/11/2020 03:43;1.32601E+18;lavibrante;;;0;0;es;Revive Social App;;;False
RT cimanewsdigital Ccuta Las lluvias tambin han afectado parte de Colombia El fin de semana se viraliz un video del momento en;10/11/2020 03:43;1.32601E+18;Romerche;;;29;0;es;Twitter Web App;;;False
RT YosefUribe Como no admirar al Uribe NorteAmericano realDonaldTrump;10/11/2020 03:42;1.32601E+18;Guiller04600321;;;8;0;es;Twitter for Android;;;False
RT biosierra Entre 2011 a 2019 la Deforestacin en Colombia alcanz un total de 1477848 hectreas lo que equivale a 8867 millones;10/11/2020 03:42;1.32601E+18;biosierra;;;49;0;es;Twitter for Android;;;False
RT cimanewsdigital Ccuta Las lluvias tambin han afectado parte de Colombia El fin de semana se viraliz un video del momento en;10/11/2020 03:42;1.32601E+18;Dancaracal;;;29;0;es;Twitter for iPhone;;;False
RT YosefUribe Como no admirar al Uribe NorteAmericano realDonaldTrump;10/11/2020 03:41;1.32601E+18;negro3777;;;8;0;es;Twitter for Android;;;False
Sujetadores de Camisa Shirt Stays en Colombia Colombia Bogot CaliCo Medellin Pasto;10/11/2020 03:41;1.32601E+18;aiseCP;;;0;0;es;Twitter for Android;;;False
RT YosefUribe Como no admirar al Uribe NorteAmericano realDonaldTrump;10/11/2020 03:40;1.32601E+18;gestupra;;;8;0;es;Twitter for iPhone;;;False
RT JoseRozoL Colombia Juez exige a Claudia Lpez borrar publicaciones sobre venezolanos y disculpas pblicas;10/11/2020 03:40;1.32601E+18;rodomar36;;;4;0;es;Twitter for iPhone;;;False
Chihuahua Dos motociclistas acribillan a dos hombres dejando a uno sin vida AdrianaRuiz;10/11/2020 03:39;1.32601E+18;AdrianaRuiz_1;;;0;1;es;Twitter Web App;;;False
RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e;10/11/2020 03:38;1.32601E+18;JohnReed000;;;37;0;es;Twitter for Android;;;False
RT MoVidaCol En Colombia el MinDefensa CarlosHolmesTru an nos debe explicaciones por el asesinato de 14 personas a manos de agentes de;10/11/2020 03:38;1.32601E+18;zarida_1111;;;50;0;es;Twitter for Android;;;False
RT Technogeekla Muy fcil ganarse este espectacular DeathAdder EssentialSolo sigue el enlace Sorteo Colombia;10/11/2020 03:37;1.32601E+18;ReGamertron;;;44;0;es;Re:Gamertron;;;False
RT Soyquintopoder Nacional Pas Colombia QuintoPoder Direct TV tendr que pagar unos 400 millones de pesos en multa a la Superinten;10/11/2020 03:37;1.32601E+18;Leonardobauteb;;;1;0;es;Twitter for Android;;;False
RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia;10/11/2020 03:36;1.32601E+18;Fernandoz757;;;31;0;es;Twitter for iPhone;;;False
RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e;10/11/2020 03:36;1.32601E+18;Francisco_Henao;;;37;0;es;Twitter for iPhone;;;False
RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e;10/11/2020 03:34;1.32601E+18;ricardo6699;;;37;0;es;Twitter for Android;;;False
RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e;10/11/2020 03:34;1.32601E+18;GorillaParacohp;;;37;0;es;Twitter for Android;;;False
RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e;10/11/2020 03:33;1.32601E+18;pandemonio1_;;;37;0;es;Twitter for Android;;;False
RT Observacom Colombia Empresas de telecomunicaciones piden a OCDE que inste al gobierno a actuar frente al monopolio de Claro https;10/11/2020 03:33;1.32601E+18;juangilles;;;0;0;es;Twitter for Android;;;False
RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e;10/11/2020 03:33;1.32601E+18;ArbeyPacifico;;;37;0;es;Twitter for Android;;;False
RT CapitanDavidEJC El da en que Mit ardi por el fuego de FarcHoy hace 22 aos ms de mil terroristas Farc atacaron Mit Vaups;10/11/2020 03:33;1.326E+18;cdcpadilla;;;462;0;es;Twitter for Android;;;False
James Rodrguez ha venido de ms a menos esta campaa Colombia;10/11/2020 03:33;1.326E+18;FOXDeportes;;;1;10;es;TweetDeck;;;False
RT EdierSaavedra DanielSamperO Pero que sea de los campesinos colombianosNada de papa importada Ahora necesitamos entre todos apoy;10/11/2020 03:32;1.326E+18;JhonManuelGarc2;;;4;0;es;Twitter for Android;;;False
RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia;10/11/2020 03:32;1.326E+18;Ambrosine_7;;;31;0;es;Twitter for iPhone;;;False
RT ChalecosAmarill En Colombia Bueno ya lo dijo abiertamente el SubPresidente Ivn Duque Matarife;10/11/2020 03:32;1.326E+18;Wilfredoriera4;;;62;0;es;Twitter for Android;;;False
RT NoticiasA1com Mariah Carey unido Demi Lovato y Sara Bareilles celebran 9denoviembre biden colombia eeuu;10/11/2020 03:31;1.326E+18;DanielQTV;;;1;0;es;Twitter for Android;;;False
Falla Moderada de internet en curso ETB en Colombia desde las 0925 PM por una hora afectando Bogot Ma;10/11/2020 03:31;1.326E+18;outagedetect;;;0;0;es;FingBot;;;False
RT NoticiasA1com DOBLAN MEDIDAS Colombia estudia restricciones a ciudadanos de Espaa y otros 6 pases vuel;10/11/2020 03:31;1.326E+18;DanielQTV;;;1;0;es;Twitter for Android;;;False
RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e;10/11/2020 03:30;1.326E+18;cardenaltyschko;;;37;0;es;Twitter Web App;;;False
RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e;10/11/2020 03:30;1.326E+18;JoseLadino1;;;37;0;es;Twitter for Android;;;False
RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e;10/11/2020 03:29;1.326E+18;DCaroCarambola;;;37;0;es;Twitter for Android;;;False
RT carlosa50084674 PedroKonductaz pronto LA PESADILLAliliantintori har su trabajo en Chile Ecuador Brasil Colombia https;10/11/2020 03:28;1.326E+18;Crealuz;;;7;0;es;Twitter Web App;;;True
RT CesedUniandes Cmo afectan los resultados de las eleccionesUSA2020 a Colombia y a la poltica de drogas Los invitamos el 11 de nov;10/11/2020 03:28;1.326E+18;CacaoHatun;;;11;0;es;Twitter for Android;;;False
RT VicenteTaianoEC No toleraremos actos de violencia e irrespeto a la autoridad agradecemos el accionar de la PoliciaEcuador que nos a;10/11/2020 03:28;1.326E+18;erickboccanedes;;;8;0;es;Twitter for Android;;;True
RT ASCUN1 Felicitamos al Dr Pablo Vera Salazar nuevo rector de Unimagdalena ASCUN EducacinSuperior Educacin Colombia Univer;10/11/2020 03:28;1.326E+18;BorisAAO;;;10;0;es;Twitter Web App;;;False
Despide este lunes con El Bitcoin y el dinero mgico a las 1100pm en Radio Datoeconomia Entra aqu;10/11/2020 03:27;1.326E+18;DatoeconomiaR;;;0;0;es;Twitter for iPad;;;False
RT actualicese Cuando uno se da cuenta que todo es muy diferente a lo que ve en la universidad HumorConActualcese Actu;10/11/2020 03:26;1.326E+18;EmilseMarem;;;3;0;es;Twitter for Android;;;False
Ex senadora Piedad Crdoba nos cuenta como se fragu el golpe de estado contra Bolivia a travs de Colombia;10/11/2020 03:25;1.326E+18;EsmeraldaFortu2;;;0;0;es;Twitter for Android;;;True
